,N,iterations,mode,run times,suite
0,20,100,parallel,0.024769067764282227,trilinos
1,50,100,serial,0.8641719818115234,trilinos
2,70,800,serial,7.840004920959473,pysparse
3,10,800,parallel,,pysparse
4,60,100,serial,0.8850841522216797,pysparse
5,60,100,parallel,0.7332720756530762,trilinos
6,10,100,parallel,0.010403156280517578,trilinos
7,40,800,serial,0.9964029788970947,pysparse
8,30,100,parallel,0.0712900161743164,trilinos
9,20,800,serial,0.07185888290405273,pysparse
10,40,400,serial,0.708298921585083,trilinos
11,40,200,serial,0.4257020950317383,pysparse
12,70,400,serial,4.17087197303772,trilinos
13,70,200,parallel,,pysparse
14,70,100,parallel,1.18467116355896,trilinos
15,60,400,serial,2.542060136795044,trilinos
16,40,100,serial,0.41809797286987305,trilinos
17,60,200,serial,1.4452629089355469,pysparse
18,20,800,parallel,0.05324912071228027,trilinos
19,20,800,parallel,,pysparse
20,70,400,parallel,,pysparse
21,40,100,serial,0.2619199752807617,pysparse
22,80,400,serial,6.252861022949219,pysparse
23,80,400,parallel,,pysparse
24,70,200,parallel,1.6214320659637451,trilinos
25,80,400,serial,6.232597827911377,trilinos
26,50,100,parallel,,pysparse
27,10,400,parallel,,pysparse
28,20,100,serial,0.05098581314086914,trilinos
29,50,400,parallel,0.8271989822387695,trilinos
30,40,200,serial,0.5232298374176025,trilinos
31,40,400,serial,0.7479038238525391,pysparse
32,60,200,serial,1.8764328956604004,trilinos
33,30,100,parallel,,pysparse
34,10,100,parallel,,pysparse
35,30,800,serial,0.4304358959197998,trilinos
36,20,800,serial,0.12683701515197754,trilinos
37,60,100,parallel,,pysparse
38,80,200,serial,4.603055953979492,trilinos
39,50,200,serial,0.8406200408935547,pysparse
40,40,400,parallel,,pysparse
41,70,800,serial,6.336353063583374,trilinos
42,70,200,serial,3.0224990844726562,trilinos
43,80,100,parallel,1.8242590427398682,trilinos
44,50,200,parallel,,pysparse
45,50,400,serial,1.5011000633239746,pysparse
46,30,800,parallel,0.1577157974243164,trilinos
47,80,200,parallel,,pysparse
48,30,200,serial,0.20231294631958008,trilinos
49,70,100,serial,1.4287919998168945,pysparse
50,80,800,serial,11.772624015808105,pysparse
51,10,100,serial,0.009053945541381836,pysparse
52,80,800,parallel,,pysparse
53,60,800,serial,4.741641044616699,pysparse
54,10,400,serial,0.010011911392211914,pysparse
55,80,800,serial,9.61687707901001,trilinos
56,80,200,parallel,2.460783004760742,trilinos
57,30,800,parallel,,pysparse
58,20,200,parallel,0.028721094131469727,trilinos
59,10,400,serial,0.016295909881591797,trilinos
60,40,200,parallel,0.23561716079711914,trilinos
61,80,200,serial,3.6440961360931396,pysparse
62,50,200,serial,1.062007188796997,trilinos
63,50,800,parallel,,pysparse
64,70,200,serial,2.3429040908813477,pysparse
65,10,200,serial,0.013469934463500977,trilinos
66,10,800,serial,0.021406888961791992,trilinos
67,30,400,serial,0.27626514434814453,trilinos
68,30,200,parallel,,pysparse
69,30,800,serial,0.310122013092041,pysparse
70,20,100,serial,0.03621411323547363,pysparse
71,50,800,serial,2.1851789951324463,trilinos
72,60,800,parallel,,pysparse
73,80,100,serial,2.268878936767578,pysparse
74,40,100,parallel,,pysparse
75,50,400,parallel,,pysparse
76,30,400,parallel,0.10837912559509277,trilinos
77,10,400,parallel,0.013749122619628906,trilinos
78,50,100,parallel,0.41499900817871094,trilinos
79,80,400,parallel,3.7934398651123047,trilinos
80,70,100,parallel,,pysparse
81,70,400,serial,4.195871829986572,pysparse
82,50,800,serial,2.3732669353485107,pysparse
83,30,400,parallel,,pysparse
84,70,400,parallel,2.4815330505371094,trilinos
85,20,200,serial,0.05560302734375,pysparse
86,40,100,parallel,0.18859386444091797,trilinos
87,30,400,serial,0.3086841106414795,pysparse
88,80,100,serial,3.808756113052368,trilinos
89,60,400,serial,2.5861198902130127,pysparse
90,10,800,serial,0.009962081909179688,pysparse
91,60,800,parallel,2.506999969482422,trilinos
92,10,800,parallel,0.017655134201049805,trilinos
93,40,400,parallel,0.32967090606689453,trilinos
94,10,200,serial,0.010277032852172852,pysparse
95,60,200,parallel,,pysparse
96,20,400,serial,0.07202410697937012,pysparse
97,30,200,parallel,0.08453893661499023,trilinos
98,40,800,serial,1.0872290134429932,trilinos
99,50,800,parallel,1.3916959762573242,trilinos
100,10,200,parallel,,pysparse
101,60,100,serial,1.5144472122192383,trilinos
102,60,400,parallel,,pysparse
103,60,200,parallel,0.9895470142364502,trilinos
104,20,200,serial,0.06133317947387695,trilinos
105,50,100,serial,0.5109400749206543,pysparse
106,20,100,parallel,,pysparse
107,40,800,parallel,0.5156240463256836,trilinos
108,20,400,parallel,0.03722500801086426,trilinos
109,30,100,serial,0.16366887092590332,trilinos
110,70,800,parallel,,pysparse
111,60,800,serial,3.9112260341644287,trilinos
112,80,800,parallel,6.452115058898926,trilinos
113,70,100,serial,2.462080955505371,trilinos
114,20,200,parallel,,pysparse
115,30,100,serial,0.1102900505065918,pysparse
116,50,200,parallel,0.556527853012085,trilinos
117,40,800,parallel,,pysparse
118,80,100,parallel,,pysparse
119,10,100,serial,0.011887073516845703,trilinos
120,40,200,parallel,,pysparse
121,60,400,parallel,1.4917728900909424,trilinos
122,30,200,serial,0.17578887939453125,pysparse
123,70,800,parallel,4.195842027664185,trilinos
124,10,200,parallel,0.011551141738891602,trilinos
125,20,400,parallel,,pysparse
126,50,400,serial,1.4358510971069336,trilinos
127,20,400,serial,0.0834341049194336,trilinos
