,iterations,N,np,run time,suite
0,100,10,1,0.0120639801025,trilinos
1,100,10,1,0.00934195518494,pysparse
2,100,10,2,0.010890007019,trilinos
3,100,10,2,,pysparse
4,100,10,3,0.0102288722992,trilinos
5,100,10,3,,pysparse
6,100,10,4,0.0105559825897,trilinos
7,100,10,4,,pysparse
8,100,10,5,0.0157408714294,trilinos
9,100,10,5,,pysparse
10,100,10,6,0.0160298347473,trilinos
11,100,10,6,,pysparse
12,100,10,7,0.0162401199341,trilinos
13,100,10,7,,pysparse
14,100,10,8,0.017165184021,trilinos
15,100,10,8,,pysparse
16,200,10,1,0.0136778354645,trilinos
17,200,10,1,0.0103299617767,pysparse
18,200,10,2,0.0121040344238,trilinos
19,200,10,2,,pysparse
20,200,10,3,0.0112550258636,trilinos
21,200,10,3,,pysparse
22,200,10,4,0.0111119747162,trilinos
23,200,10,4,,pysparse
24,200,10,5,0.0170118808746,trilinos
25,200,10,5,,pysparse
26,200,10,6,0.0173630714417,trilinos
27,200,10,6,,pysparse
28,200,10,7,0.0175290107727,trilinos
29,200,10,7,,pysparse
30,200,10,8,0.0187799930573,trilinos
31,200,10,8,,pysparse
32,400,10,1,0.016047000885,trilinos
33,400,10,1,0.0101869106293,pysparse
34,400,10,2,0.014317035675,trilinos
35,400,10,2,,pysparse
36,400,10,3,0.0134239196777,trilinos
37,400,10,3,,pysparse
38,400,10,4,0.013335943222,trilinos
39,400,10,4,,pysparse
40,400,10,5,0.0206680297852,trilinos
41,400,10,5,,pysparse
42,400,10,6,0.0204999446869,trilinos
43,400,10,6,,pysparse
44,400,10,7,0.021194934845,trilinos
45,400,10,7,,pysparse
46,400,10,8,0.0210869312286,trilinos
47,400,10,8,,pysparse
48,800,10,1,0.0211179256439,trilinos
49,800,10,1,0.0102770328522,pysparse
50,800,10,2,0.0187420845032,trilinos
51,800,10,2,,pysparse
52,800,10,3,0.0173799991608,trilinos
53,800,10,3,,pysparse
54,800,10,4,0.0169880390167,trilinos
55,800,10,4,,pysparse
56,800,10,5,0.0263330936432,trilinos
57,800,10,5,,pysparse
58,800,10,6,0.0270340442657,trilinos
59,800,10,6,,pysparse
60,800,10,7,0.0282831192017,trilinos
61,800,10,7,,pysparse
62,800,10,8,0.0279688835144,trilinos
63,800,10,8,,pysparse
64,100,20,1,0.0481848716736,trilinos
65,100,20,1,0.0355150699615,pysparse
66,100,20,2,0.0334599018097,trilinos
67,100,20,2,,pysparse
68,100,20,3,0.0266840457916,trilinos
69,100,20,3,,pysparse
70,100,20,4,0.0233368873596,trilinos
71,100,20,4,,pysparse
72,100,20,5,0.033390045166,trilinos
73,100,20,5,,pysparse
74,100,20,6,0.0313010215759,trilinos
75,100,20,6,,pysparse
76,100,20,7,0.0293819904327,trilinos
77,100,20,7,,pysparse
78,100,20,8,0.0297720432281,trilinos
79,100,20,8,,pysparse
80,200,20,1,0.0594811439514,trilinos
81,200,20,1,0.0557799339294,pysparse
82,200,20,2,0.0395369529724,trilinos
83,200,20,2,,pysparse
84,200,20,3,0.0316359996796,trilinos
85,200,20,3,,pysparse
86,200,20,4,0.0272381305695,trilinos
87,200,20,4,,pysparse
88,200,20,5,0.0390059947968,trilinos
89,200,20,5,,pysparse
90,200,20,6,0.0364589691162,trilinos
91,200,20,6,,pysparse
92,200,20,7,0.0340700149536,trilinos
93,200,20,7,,pysparse
94,200,20,8,0.0338599681854,trilinos
95,200,20,8,,pysparse
96,400,20,1,0.0809011459351,trilinos
97,400,20,1,0.0729730129242,pysparse
98,400,20,2,0.0527930259705,trilinos
99,400,20,2,,pysparse
100,400,20,3,0.0413620471954,trilinos
101,400,20,3,,pysparse
102,400,20,4,0.0349690914154,trilinos
103,400,20,4,,pysparse
104,400,20,5,0.0500340461731,trilinos
105,400,20,5,,pysparse
106,400,20,6,0.0460059642792,trilinos
107,400,20,6,,pysparse
108,400,20,7,0.0435709953308,trilinos
109,400,20,7,,pysparse
110,400,20,8,0.0422768592834,trilinos
111,400,20,8,,pysparse
112,800,20,1,0.126441955566,trilinos
113,800,20,1,0.0729949474335,pysparse
114,800,20,2,0.0792419910431,trilinos
115,800,20,2,,pysparse
116,800,20,3,0.0606360435486,trilinos
117,800,20,3,,pysparse
118,800,20,4,0.0502672195435,trilinos
119,800,20,4,,pysparse
