,iterations,N,np,run time,suite
0,400,10,8,0.0497200489044,trilinos
1,100,10,24,0.0298240184784,trilinos
2,200,10,1,0.0228340625763,pysparse
3,100,10,16,0.0325901508331,trilinos
4,100,50,2,1.45335507393,trilinos
5,100,50,8,0.497951984406,trilinos
6,100,50,1,2.7498819828,trilinos
7,100,50,4,0.891257047653,trilinos
8,100,10,1,0.025190114975,trilinos
9,100,10,32,0.0322480201721,trilinos
10,100,10,1,0.0193018913269,pysparse
11,200,10,8,0.0404341220856,trilinos
12,100,10,2,0.0274698734283,trilinos
13,100,10,8,0.0280020236969,trilinos
14,100,10,4,0.0249869823456,trilinos
15,200,10,1,0.0344491004944,trilinos
16,200,10,2,0.0326290130615,trilinos
17,200,10,4,0.0238590240479,trilinos
18,200,10,16,0.0270020961761,trilinos
19,400,10,1,0.0457339286804,trilinos
20,800,10,8,0.068293094635,trilinos
21,200,10,24,0.0333909988403,trilinos
22,400,10,1,0.0219171047211,pysparse
23,400,10,2,0.0283811092377,trilinos
24,400,10,4,0.0303120613098,trilinos
25,100,20,8,0.0399131774902,trilinos
26,400,10,16,0.0317668914795,trilinos
27,800,10,4,0.0515241622925,trilinos
28,800,10,1,0.0251109600067,pysparse
29,800,10,1,0.0627610683441,trilinos
30,800,10,2,0.0512537956238,trilinos
31,200,10,32,0.0359179973602,trilinos
32,800,10,16,0.0271780490875,trilinos
33,100,20,4,0.0525949001312,trilinos
34,100,20,1,0.122720003128,trilinos
35,100,20,2,0.0793688297272,trilinos
36,100,20,1,0.0806660652161,pysparse
37,100,20,16,0.0853698253632,trilinos
38,200,20,8,0.0474560260773,trilinos
39,200,20,4,0.10156416893,trilinos
40,200,20,2,0.104743003845,trilinos
41,400,10,24,0.0319459438324,trilinos
42,200,20,1,0.183174133301,trilinos
43,200,20,1,0.128442049026,pysparse
44,400,20,8,0.069375038147,trilinos
45,400,10,32,0.0320239067078,trilinos
46,800,20,8,0.100783824921,trilinos
47,200,20,16,0.0836758613586,trilinos
48,800,10,32,0.0323719978333,trilinos
49,100,40,8,0.285686969757,trilinos
50,400,20,16,0.100467920303,trilinos
51,100,20,32,0.0433769226074,trilinos
52,200,40,8,0.258124828339,trilinos
53,800,20,16,0.124325990677,trilinos
54,400,20,4,0.131379842758,trilinos
55,400,20,2,0.180147886276,trilinos
56,800,10,24,0.0337331295013,trilinos
57,400,20,1,0.224337100983,trilinos
58,400,20,1,0.187990188599,pysparse
59,100,40,16,0.205751895905,trilinos
60,100,20,24,0.0508239269257,trilinos
61,400,40,8,0.407353162766,trilinos
62,800,20,1,0.476217031479,trilinos
63,800,20,4,0.13653087616,trilinos
64,800,20,2,0.223692178726,trilinos
65,800,20,1,0.141214847565,pysparse
66,200,20,24,0.0451459884644,trilinos
67,100,40,4,0.341541051865,trilinos
68,100,40,2,0.991428852081,trilinos
69,100,40,1,1.2997610569,trilinos
70,100,40,1,0.737632036209,pysparse
71,400,20,24,0.0470051765442,trilinos
72,800,40,8,1.20004200935,trilinos
73,200,40,16,0.168647050858,trilinos
74,200,40,4,0.464028120041,trilinos
75,800,20,24,0.0410690307617,trilinos
76,200,40,2,0.801568031311,trilinos
77,200,40,1,1.57382488251,trilinos
78,200,40,1,1.14362192154,pysparse
79,100,40,24,0.211421012878,trilinos
80,400,40,4,0.767429113388,trilinos
81,400,40,16,0.182948112488,trilinos
82,400,40,2,1.38329195976,trilinos
83,400,40,1,2.98148798943,trilinos
84,100,80,8,2.31178712845,trilinos
85,800,40,4,0.948995113373,trilinos
86,400,40,1,2.22555208206,pysparse
87,800,40,16,0.421653985977,trilinos
88,200,40,24,0.257154941559,trilinos
89,800,40,2,2.09065485001,trilinos
90,100,80,4,4.06681609154,trilinos
91,800,40,1,3.22960495949,trilinos
92,800,40,1,2.94335603714,pysparse
93,100,80,16,1.76272010803,trilinos
94,100,80,2,6.42192101479,trilinos
95,400,40,24,0.357059955597,trilinos
96,100,80,1,9.50136494637,trilinos
97,100,80,1,7.07622003555,pysparse
98,800,40,24,0.469995975494,trilinos
99,100,80,24,1.61613202095,trilinos
100,200,80,4,4.39667391777,trilinos
101,200,80,8,3.18487000465,trilinos
102,200,80,16,2.36039495468,trilinos
103,200,80,2,9.34551310539,trilinos
104,200,80,1,13.206592083,trilinos
105,200,80,1,10.8975470066,pysparse
106,400,80,4,5.8975110054,trilinos
107,200,80,24,1.97222304344,trilinos
108,400,80,16,2.90364003181,trilinos
109,400,80,8,4.68126702309,trilinos
110,800,80,4,9.9363348484,trilinos
111,400,80,2,11.6246020794,trilinos
112,400,80,1,20.6125369072,trilinos
113,400,80,1,19.390141964,pysparse
114,800,80,16,4.32273888588,trilinos
115,800,80,2,19.6152939796,trilinos
116,800,80,1,34.2902171612,trilinos
117,800,80,1,42.4418890476,pysparse
118,400,80,24,2.60232782364,trilinos
119,800,80,8,7.10929679871,trilinos
120,800,80,24,4.31843900681,trilinos
121,200,20,32,0.0511219501495,trilinos
122,400,20,32,0.0463840961456,trilinos
123,800,20,32,0.0475468635559,trilinos
124,100,40,32,0.188627958298,trilinos
125,200,40,32,0.215532779694,trilinos
126,400,40,32,0.313201904297,trilinos
127,800,40,32,0.464067935944,trilinos
128,100,80,32,1.07342600822,trilinos
129,200,80,32,1.54082489014,trilinos
130,400,80,32,2.21294593811,trilinos
131,800,80,32,2.59873104095,trilinos
